Index,Year,Code,Country,Total,Female total,Male total
352,2018,AZE,Azerbaijan,1130,454,676
353,2018,BIH,Bosnia and Herzegovina,6318,3352,2966
354,2018,BLR,Belarus,198,79,119
355,2018,CHE,Switzerland,118776,49015,69761
356,2018,DEU,Germany,1447886,529254,918632
357,2018,DZA,Algeria,9256,3426,5830
358,2018,EGY,Egypt,244917,117115,127802
359,2018,FIN,Finland,3282,1191,2091
360,2018,FRA,France,278572,111442,167130
361,2018,GEO,Georgia,285611,151655,133956
362,2018,GRC,Greece,72539,22826,49713
363,2018,HRV,Croatia,953,285,668
364,2018,IRL,Ireland,12010,4381,7629
365,2018,IRN,Iran (Islamic Rep. of),29794,14344,15450
366,2018,IRQ,Iraq,297041,140173,156868
367,2018,JOR,Jordan,769227,380642,388585
368,2018,KWT,Kuwait,1669,857,812
369,2018,LBN,Lebanon,969601,505012,464589
370,2018,LBY,Libya,226687,112333,114354
371,2018,MAR,Morocco,7747,2841,4906
372,2018,MDA,Rep. of Moldova,500,170,330
373,2018,MKD,North Macedonia,989,496,493
374,2018,MNE,Montenegro,12760,6307,6453
375,2018,POL,Poland,1260,631,629
376,2018,ROU,Romania,4134,1448,2686
377,2018,SAU,Saudi Arabia,2429,1186,1243
378,2018,SRB,Serbia and Kosovo: S/RES/1244 (1999),244561,124717,119844
379,2018,SVK,Slovakia,2489,816,1673
380,2018,SVN,Slovenia,629,195,421
381,2018,SYR,Syrian Arab Rep.,37459,19253,18206
382,2018,TUN,Tunisia,1320,527,793
383,2018,TUR,Turkey,3993400,1794623,2198777
384,2018,UKR,Ukraine,6396,1051,5345
385,2019,AFG,Afghanistan,3072957,1512345,1560612
386,2019,ALB,Albania,3964,1880,2084
387,2019,ARM,Armenia,4524,2256,2268
388,2019,AUT,Austria,26693,7852,18841
389,2019,AZE,Azerbaijan,1283,508,775
390,2019,BIH,Bosnia and Herzegovina,156189,74874,81315
391,2019,BLR,Belarus,176,66,110
392,2019,CHE,Switzerland,59144,23746,35398
393,2019,CZE,Czechia,471,186,285
394,2019,DEU,Germany,1470895,558500,912395
395,2019,DZA,Algeria,10262,3663,6599
396,2019,EGY,Egypt,324714,158265,166449
397,2019,ESP,Spain,133030,59965,73065
398,2019,FIN,Finland,8309,2420,5889
399,2019,FRA,France,409441,122041,186540
400,2019,GBR,United Kingdom of Great Britain and Northern Ireland,61943,21497,40446
401,2019,GEO,Georgia,289829,153610,136219
402,2019,GRC,Greece,105688,37660,68028
403,2019,HRV,Croatia,8291,3696,4595
404,2019,HUN,Hungary,217,98,119
405,2019,IRL,Ireland,13371,5136,8235
406,2019,IRN,Iran (Islamic Rep. of),58,31,27
407,2019,IRQ,Iraq,286933,137863,149070
408,2019,JOR,Jordan,747070,368398,378672
409,2019,KWT,Kuwait,93784,46916,46868
410,2019,LBN,Lebanon,936122,488335,447787
411,2019,LBY,Libya,45448,16981,28467
412,2019,MAR,Morocco,9729,3462,6267
413,2019,MDA,Rep. of Moldova,2408,1285,1123
414,2019,MKD,North Macedonia,998,483,515
415,2019,MNE,Montenegro,13554,6613,6941
416,2019,NLD,Netherlands,15609,5252,10357
417,2019,POL,Poland,1297,654,643
418,2019,PRT,Portugal,1055,338,712
419,2019,ROU,Romania,4967,1635,3332
420,2019,SAU,Saudi Arabia,2642,1278,1364
421,2019,SRB,Serbia and Kosovo: S/RES/1244 (1999),16346,7519,8827
422,2019,SVN,Slovenia,312,32,280
423,2019,SWE,Sweden,28073,10925,17148
424,2019,SYR,Syrian Arab Rep.,28275,14499,13776
425,2019,TUN,Tunisia,3274,1171,2103
426,2019,TUR,Turkey,3893047,1790285,2102762
427,2019,UKR,Ukraine,2454206,1365425,1088781
